Winner,Loser
Grambling,Alabama A&M
North Carolina,Duke
Wyoming,New Mexico
UNCG,Samford
Arkansas,Alabama
UNI,Drake
Prairie View A&M,Alcorn State
Texas A&M-C.C.,Houston Baptist
Davidson,Richmond
Penn,Brown
Yale,Princeton
Kansas St.,Oklahoma
Jackson State,Alabama State
UNCW,Elon
Monmouth,Quinnipiac
Vermont,Maine
FIU,North Texas
Harvard,Columbia
Northern Ariz.,Northern Colo.
Utah,UCLA
Binghamton,Stony Brook
Dayton,Duquesne
Boise State,Air Force
Cornell,Dartmouth
Fresno State,San Jose State
Western Illinois,South Dakota St.
Murray State,Belmont
Mich. St.,Michigan
Creighton,DePaul
UC Riverside,UC Davis
Charlotte,Rice
Southern Univ.,Texas Southern
LSU,Vanderbilt
Furman,Mercer
Middle Tenn.,UTEP
Wichita State,Tulane
Eastern Wash.,Weber State
New Mexico St.,Cal Baptist
Utah Valley,CSU Bakersfield
Idaho State,Idaho
Siena,Rider
Omaha,North Dakota
Memphis,Tulsa
Oregon,Washington
Pepperdine,San Francisco
UC Santa Barb.,Cal Poly
Hawaii,CSU Fullerton
Montana,Sacramento St.
Portland State,Montana St.
Nevada,San Diego State
UC Irvine,CSUN
Penn St.,Illinois
Indiana,Rutgers
Hofstra,James Madison
Houston,Cincinnati
Colgate,Navy
Gardner-Webb,Radford
Bucknell,Lehigh
Nebraska,Iowa
UConn,East Carolina
Bradley,UNI
Delaware,William & Mary
Liberty,Lipscomb
Wofford,East Tenn. St.
SMU,South Florida
Wisconsin,Ohio St.
Northeastern,UNCW
Iona,Siena
UNCG,Furman
North Dakota St.,Oral Roberts
Charleston,Drexel
Monmouth,Canisius
Fort Wayne,South Dakota
Delaware State,Savannah State
Hofstra,Delaware
Central Mich.,Western Mich.
Ball State,Eastern Mich.
Wofford,UNCG
Wright State,Green Bay
North Dakota St.,Western Illinois
Akron,Miami (Ohio)
Northeastern,Charleston
Iona,Monmouth
Northern Ill.,Ohio
Gonzaga,Pepperdine
Omaha,Fort Wayne
Northern Kentucky,Oakland
St. Mary's (Cal.),San Diego
Miami (Fla.),Wake Forest
Notre Dame,Georgia Tech
S. Carolina St.,UMES
Pittsburgh,Boston College
Vermont,Binghamton
Fairleigh D'son,St. Francis (Pa.)
Northern Kentucky,Wright State
UMBC,Hartford
Northeastern,Hofstra
La.-Monroe,Appalachian St.
South Alabama,Arkansas State
Coppin State,Morgan State
Texas Southern,Southern Univ.
Grambling,Ark.-Pine Bluff
North Dakota St.,Omaha
Prairie View A&M,Alcorn State
St. Mary's (Cal.),Gonzaga
Alabama State,Jackson State
Sacramento St.,Northern Ariz.
NC State,Clemson
Geo. Washington,Massachusetts
Southern Utah,Idaho State
Boise State,Colorado State
Virginia Tech,Miami (Fla.)
USC,Arizona
Richmond,Fordham
Montana St.,Idaho
New Mexico,Wyoming
Colorado,California
Norfolk State,S. Carolina St.
Lamar University,Houston Baptist
Nebraska,Rutgers
Louisiana Tech,Florida Atlantic
Louisville,Notre Dame
TCU,Oklahoma State
Providence,Butler
Missouri,Georgia
Air Force,San Jose State
UAB,Middle Tenn.
Colgate,Bucknell
Central Ark.,Texas A&M-C.C.
N.C. A&T,Coppin State
UCLA,Stanford
Illinois,Northwestern
Syracuse,Pittsburgh
Texas A&M,Vanderbilt
St. John's,DePaul
North Texas,FIU
West Virginia,Oklahoma
Marshall,Rice
Oregon,Washington St.
Rhode Island,La Salle
Villanova,Providence
Buffalo,Akron
Virginia,NC State
Ohio St.,Indiana
Iowa State,Baylor
UConn,South Florida
Florida,Arkansas
Montana,Sacramento St.
Central Mich.,Kent State
George Mason,Geo. Washington
Xavier,Creighton
New Mexico St.,Chicago State
UC Santa Barb.,CSUN
Nevada,Boise State
Washington,USC
Kansas St.,TCU
Florida State,Virginia Tech
Nebraska,Maryland
Memphis,Tulane
Auburn,Missouri
Weber State,Portland State
UTRGV,CSU Bakersfield
Colorado,Oregon St.
CSU Fullerton,UC Davis
San Diego State,UNLV
South Alabama,Louisiana
New Orleans,Lamar University
Saint Joseph's,Duquesne
N.C. Central,Delaware State
Northern Ill.,Toledo
Old Dominion,Louisiana Tech
Alabama,Mississippi
West Virginia,Texas Tech
North Carolina,Louisville
Marquette,St. John's
Minnesota,Penn St.
UAB,UTSA
Southern Utah,Northern Colo.
SMU,Tulsa
Howard,Bethune-Cookman
La.-Monroe,Coastal Caro.
Southeastern La.,Central Ark.
Saint Louis,Richmond
UC Irvine,UC Riverside
Bowling Green,Ball State
Arizona St.,UCLA
Utah State,New Mexico
Utah Valley,UMKC
Western Ky.,North Texas
Mississippi St.,Texas A&M
Duke,Syracuse
Seton Hall,Georgetown
Kansas,Texas
Iowa,Illinois
Eastern Wash.,Montana St.
Southern Miss,Marshall
Wichita State,East Carolina
Grand Canyon,Seattle U
Long Beach St.,Hawaii
Oregon,Utah
Fresno State,Air Force
CSU Fullerton,UC Santa Barb.
Houston,UConn
Rhode Island,VCU
Mich. St.,Ohio St.
Florida,LSU
Old Dominion,UAB
Memphis,UCF
St. Bonaventure,George Mason
Wisconsin,Nebraska
Auburn,South Carolina
Prairie View A&M,Grambling
Western Ky.,Southern Miss
Norfolk State,Howard
New Orleans,Sam Houston St.
Davidson,Saint Joseph's
Texas State,South Alabama
Villanova,Xavier
Buffalo,Central Mich.
Kentucky,Alabama
Iowa State,Kansas St.
Minnesota,Purdue
Florida State,Virginia
Cincinnati,SMU
Montana,Weber State
N.C. Central,N.C. A&T
Ga. Southern,La.-Monroe
Abilene Christian,Southeastern La.
Saint Louis,Dayton
San Diego State,Nevada
New Mexico St.,UTRGV
Washington,Colorado
Bowling Green,Northern Ill.
Seton Hall,Marquette
Michigan,Iowa
Wichita State,Temple
UC Irvine,Long Beach St.
Tennessee,Mississippi St.
Kansas,West Virginia
Duke,North Carolina
Eastern Wash.,Southern Utah
Texas Southern,Alabama State
Grand Canyon,Utah Valley
Utah State,Fresno State
Oregon,Arizona St.
UC Irvine,CSU Fullerton
Vermont,UMBC
Harvard,Penn
Mich. St.,Wisconsin
Auburn,Florida
St. Bonaventure,Rhode Island
N.C. Central,Norfolk State
Yale,Princeton
Houston,Memphis
Tennessee,Kentucky
Michigan,Minnesota
Saint Louis,Davidson
Georgia State,Texas State
Cincinnati,Wichita State
Prairie View A&M,Texas Southern
Utah State,San Diego State
Iowa State,Kansas
UT Arlington,Ga. Southern
Villanova,Seton Hall
Buffalo,Bowling Green
Montana,Eastern Wash.
Duke,Florida State
Old Dominion,Western Ky.
Abilene Christian,New Orleans
New Mexico St.,Grand Canyon
Oregon,Washington
